"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1145","Navigation from login page to registration page","LMS system","Tue Aug 19 20:37:05 GMT 2025","passed","Tue Aug 19 20:37:06 GMT 2025","Authorization","Authentication","",""
"","1096","Check displaying of empty courses list","LMS system","Tue Aug 19 20:37:07 GMT 2025","passed","Tue Aug 19 20:37:09 GMT 2025","Courses","Courses","",""
"","1672","Create course","LMS system","Tue Aug 19 20:37:08 GMT 2025","passed","Tue Aug 19 20:37:10 GMT 2025","Courses","Courses","",""
"","1487","User login with wrong email or password","LMS system","Tue Aug 19 20:37:02 GMT 2025","passed","Tue Aug 19 20:37:03 GMT 2025","Authorization","Authentication","",""
"","1979","Edit course","LMS system","Tue Aug 19 20:37:09 GMT 2025","passed","Tue Aug 19 20:37:11 GMT 2025","Courses","Courses","",""
"","1276","Registration with correct email, username and password","LMS system","Tue Aug 19 20:37:06 GMT 2025","passed","Tue Aug 19 20:37:07 GMT 2025","Registration","Authentication","",""
"","1488","User login with wrong email or password","LMS system","Tue Aug 19 20:37:02 GMT 2025","passed","Tue Aug 19 20:37:03 GMT 2025","Authorization","Authentication","",""
"","1829","User login with correct email and password","LMS system","Tue Aug 19 20:37:04 GMT 2025","passed","Tue Aug 19 20:37:05 GMT 2025","Authorization","Authentication","",""
"","1161","User login with wrong email or password","LMS system","Tue Aug 19 20:37:04 GMT 2025","passed","Tue Aug 19 20:37:05 GMT 2025","Authorization","Authentication","",""
"","1305","Check displaying of dashboard page","LMS system","Tue Aug 19 20:37:10 GMT 2025","passed","Tue Aug 19 20:37:11 GMT 2025","Dashboard","Dashboard","",""
